Job 0, 19, 3
0, mul, C, C, 12
20, sub, D, A, 8
21, sto, C, D, 10
22, div, B, D, 8
23, sub, A, B, 13
24, mul, B, B, 12
Job 58, 24, 3
0, sub, D, A, 10
1, mul, B, C, 5
2, rcl, B, A, 13
3, mul, D, A, 13
4, add, C, C, 12
5, nul, D, D, 7
6, sub, B, A, 11
7, mul, D, B, 6
8, mul, D, D, 13
9, add, B, C, 13
10, sub, D, D, 13
11, sto, C, B, 9
12, sto, B, C, 11
13, rcl, A, B, 7
14, sub, A, B, 11
15, rcl, B, B, 13
16, mul, A, C, 6
17, nul, C, A, 14
18, nul, B, B, 14
19, rcl, B, C, 11
20, add, C, D, 9
21, div, A, B, 8
22, sub, C, C, 5
23, add, D, A, 5
Job 59, 20, 10
0, sub, C, B, 11
1, add, A, A, 5
2, sub, B, C, 13
3, mul, C, B, 11
4, sub, A, D, 9
5, rcl, C, B, 12
6, sto, A, A, 10
7, mul, A, B, 14
8, sub, D, D, 8
9, add, B, A, 6
10, rcl, A, A, 14
11, add, C, B, 6
12, add, D, A, 8
13, nul, C, D, 11
14, div, C, D, 12
15, sto, D, A, 10
16, add, A, D, 5
17, sub, B, C, 13
18, add, D, C, 13
19, mul, C, C, 6
Job 60, 28, 6
0, mul, D, A, 14
1, add, A, C, 14
2, sub, C, B, 10
3, mul, D, C, 10
4, mul, A, D, 10
5, mul, D, C, 7
6, sto, A, D, 6
7, sub, C, A, 12
8, sub, A, B, 10
9, add, D, D, 13
10, sub, B, B, 14
11, nul, A, A, 13
12, sub, C, C, 14
13, mul, D, C, 6
14, add, B, C, 10
15, sub, A, D, 14
16, sub, C, A, 9
17, add, B, A, 14
18, add, D, B, 13
19, mul, A, B, 12
20, sub, C, A, 6
21, mul, B, C, 14
22, sub, C, D, 9
23, rcl, C, D, 5
24, add, C, D, 13
25, mul, B, B, 9
26, rcl, A, D, 6
27, sub, C, D, 5
Job 61, 21, 7
0, sto, C, D, 11
1, mul, C, C, 8
2, mul, A, C, 8
3, add, C, A, 11
4, sto, B, C, 13
5, div, D, D, 12
6, rcl, D, B, 9
7, sub, A, D, 8
8, mul, D, B, 10
9, rcl, D, A, 13
10, mul, D, C, 11
11, add, D, B, 12
12, add, D, C, 12
13, mul, B, C, 9
14, add, D, A, 9
15, mul, A, C, 11
16, sto, D, B, 8
17, mul, A, B, 8
18, rcl, D, C, 10
19, mul, D, D, 10
20, add, D, B, 8
Job 62, 24, 1
0, mul, D, B, 9
1, mul, D, A, 14
2, nul, C, D, 7
3, mul, D, D, 6
4, mul, B, A, 7
5, nul, C, C, 14
6, div, C, C, 8
7, div, B, D, 9
8, nul, A, B, 7
9, div, C, B, 9
10, rcl, C, D, 9
11, mul, D, B, 9
12, add, B, B, 6
13, add, C, A, 9
14, div, D, A, 6
15, sub, D, C, 8
16, add, A, A, 8
17, mul, B, D, 9
18, sub, A, A, 7
19, mul, B, B, 7
20, nul, D, B, 8
21, div, C, D, 5
22, sub, A, C, 9
23, mul, D, A, 14
Job 63, 14, 7
0, mul, C, A, 7
1, sto, A, B, 7
2, add, C, D, 5
3, add, C, A, 7
4, add, D, D, 14
5, sub, B, A, 6
6, mul, B, B, 11
7, mul, D, A, 12
8, mul, D, C, 5
9, add, B, C, 12
10, add, B, D, 14
11, div, B, C, 7
12, mul, A, A, 13
13, mul, D, C, 7
Job 64, 20, 8
0, nul, C, B, 5
1, mul, A, D, 9
2, add, B, C, 11
3, mul, A, A, 5
4, sto, B, B, 6
5, sub, D, B, 11
6, sto, B, A, 5
7, nul, B, A, 5
8, mul, A, C, 12
9, add, A, D, 13
10, mul, C, A, 9
11, sub, C, D, 7
12, div, B, A, 6
13, mul, D, B, 14
14, add, B, C, 11
15, mul, B, D, 11
16, add, D, C, 10
17, div, C, A, 6
18, mul, D, D, 6
19, add, B, B, 8
Job 65, 28, 9
0, sub, D, A, 9
1, rcl, A, B, 5
2, nul, A, D, 5
3, rcl, B, D, 9
4, div, B, A, 12
5, mul, A, D, 5
6, add, D, A, 9
7, rcl, B, B, 12
8, mul, B, C, 14
9, add, A, B, 11
10, nul, A, D, 6
11, add, C, C, 11
12, sub, A, A, 13
13, sub, B, A, 8
14, div, B, A, 5
15, nul, A, D, 7
16, sub, C, D, 8
17, mul, B, B, 14
18, div, C, A, 7
19, sub, A, D, 11
20, mul, C, D, 13
21, sub, D, B, 9
22, sto, A, D, 11
23, rcl, A, B, 7
24, add, D, C, 8
25, div, B, A, 12
26, mul, A, A, 10
27, nul, B, B, 10
Job 66, 27, 10
0, mul, A, C, 7
1, sto, A, C, 10
2, sto, D, A, 10
3, sub, A, C, 8
4, mul, D, D, 7
5, add, C, C, 9
6, div, B, D, 10
7, sto, A, A, 5
8, sub, D, A, 11
9, add, D, C, 7
10, sub, D, D, 11
11, mul, B, D, 7
12, add, C, B, 12
13, mul, D, C, 11
14, sub, B, A, 11
15, add, A, D, 10
16, mul, A, A, 5
17, nul, A, A, 6
18, mul, C, D, 6
19, add, C, B, 14
20, add, D, B, 8
21, nul, D, A, 9
22, sto, C, A, 5
23, sub, B, C, 10
24, sub, D, B, 11
25, add, B, A, 14
26, mul, C, C, 14
Job 67, 16, 8
0, mul, A, D, 5
1, add, C, B, 9
2, mul, B, A, 7
3, sub, A, C, 5
4, add, C, D, 12
5, div, A, C, 13
6, add, A, B, 6
7, sub, B, B, 10
8, rcl, D, B, 14
9, mul, B, A, 6
10, sto, B, B, 12
11, sto, A, D, 11
12, add, D, B, 6
13, add, B, D, 11
14, mul, D, C, 6
15, mul, A, B, 8
Job 68, 23, 8
0, add, A, A, 9
1, add, B, D, 10
2, div, B, A, 14
3, div, A, D, 8
4, rcl, A, A, 5
5, add, D, B, 14
6, div, D, C, 11
7, add, B, C, 10
8, nul, B, A, 8
9, mul, B, C, 5
10, add, A, A, 11
11, sto, C, A, 11
12, sto, B, A, 10
13, mul, B, B, 6
14, sto, D, D, 9
15, nul, C, B, 11
16, add, A, D, 5
17, mul, A, B, 14
18, sub, D, B, 14
19, mul, A, D, 5
20, sub, D, A, 10
21, div, C, B, 12
22, add, D, C, 11
Job 69, 21, 8
0, sto, D, C, 9
1, add, B, A, 7
2, rcl, A, D, 5
3, mul, D, A, 13
4, add, B, C, 12
5, mul, D, A, 7
6, rcl, C, A, 9
7, add, C, C, 14
8, mul, D, D, 14
9, mul, D, D, 10
10, div, A, B, 13
11, div, D, B, 10
12, add, B, C, 10
13, sto, B, C, 11
14, sub, D, C, 10
15, rcl, D, C, 12
16, nul, B, B, 9
17, sto, A, B, 10
18, add, A, B, 12
19, sub, A, C, 11
20, mul, D, A, 11
Job 70, 21, 3
0, add, B, C, 13
1, add, D, A, 5
2, sub, C, B, 7
3, rcl, A, D, 8
4, div, A, D, 10
5, add, B, A, 13
6, sub, A, D, 12
7, div, C, B, 9
8, sto, D, A, 6
9, mul, A, C, 9
10, sub, D, C, 7
11, sto, A, B, 11
12, div, C, A, 14
13, nul, A, D, 12
14, add, B, B, 13
15, sub, C, B, 13
16, div, C, A, 5
17, add, D, D, 5
18, div, D, A, 8
19, mul, B, A, 14
20, mul, B, A, 11
Job 71, 28, 1
0, rcl, A, B, 6
1, sub, D, C, 7
2, sub, B, B, 9
3, div, B, A, 14
4, mul, D, B, 11
5, sto, B, C, 12
6, add, A, B, 14
7, mul, B, B, 14
8, mul, A, B, 11
9, sto, B, A, 7
10, mul, C, D, 8
11, add, B, D, 5
12, mul, B, C, 11
13, sto, C, D, 11
14, sub, A, A, 13
15, add, A, A, 13
16, add, D, B, 12
17, nul, D, D, 7
18, add, A, B, 10
19, nul, C, A, 7
20, add, D, C, 11
21, rcl, D, B, 5
22, add, C, A, 8
23, mul, B, B, 11
24, nul, B, A, 13
25, mul, B, D, 11
26, sub, D, C, 12
27, rcl, B, A, 6
Job 72, 16, 4
0, add, C, C, 14
1, mul, A, B, 6
2, sto, C, A, 12
3, div, C, A, 6
4, add, D, B, 10
5, mul, D, A, 9
6, sub, A, D, 6
7, nul, D, B, 10
8, sub, C, C, 13
9, div, D, B, 14
10, add, C, D, 11
11, nul, A, D, 5
12, rcl, B, A, 11
13, sto, D, B, 5
14, mul, D, A, 10
15, sto, D, A, 11
Job 73, 14, 6
0, mul, D, D, 5
1, mul, A, D, 5
2, mul, C, D, 14
3, nul, C, A, 14
4, mul, B, A, 6
5, add, A, C, 13
6, div, D, B, 9
7, mul, A, D, 13
8, add, C, A, 5
9, div, C, D, 8
10, add, A, B, 10
11, nul, B, D, 13
12, div, D, C, 9
13, add, C, C, 5
Job 74, 13, 4
0, sub, B, C, 10
1, rcl, C, A, 5
2, sub, A, A, 14
3, nul, B, A, 13
4, mul, B, C, 7
5, sto, B, A, 6
6, add, A, D, 11
7, rcl, D, A, 14
8, add, A, C, 5
9, nul, B, C, 5
10, add, B, D, 13
11, mul, A, D, 5
12, add, D, B, 14
Job 75, 18, 5
0, sub, D, C, 5
1, add, D, D, 7
2, rcl, A, A, 6
3, sto, A, B, 7
4, add, D, B, 9
5, mul, D, A, 8
6, div, C, A, 5
7, mul, D, A, 13
8, mul, A, C, 9
9, sto, A, D, 11
10, nul, A, A, 7
11, mul, A, D, 6
12, add, D, C, 8
13, sub, C, D, 13
14, mul, B, B, 9
15, add, D, C, 7
16, add, B, C, 12
17, add, A, D, 10
Job 76, 15, 6
0, add, A, C, 14
1, mul, D, B, 5
2, sub, C, C, 6
3, mul, C, D, 10
4, sub, D, A, 11
5, add, D, B, 8
6, add, B, C, 11
7, add, D, A, 12
8, sto, D, B, 6
9, add, C, D, 8
10, mul, C, B, 5
11, sto, C, C, 9
12, mul, A, C, 11
13, sub, C, C, 12
14, sub, A, A, 5
Job 77, 14, 9
0, sto, D, B, 12
1, sub, A, B, 8
2, mul, B, B, 9
3, mul, B, D, 8
4, mul, D, C, 11
5, mul, A, B, 5
6, div, D, D, 5
7, mul, A, B, 12
8, sub, B, B, 7
9, sto, C, A, 9
10, add, D, C, 14
11, nul, C, A, 6
12, mul, D, D, 12
13, mul, A, A, 10
Job 78, 26, 6
0, nul, D, C, 13
1, sto, D, D, 13
2, mul, B, D, 10
3, add, B, B, 5
4, sub, C, B, 9
5, sto, C, A, 14
6, nul, B, B, 14
7, add, A, D, 12
8, add, B, A, 14
9, mul, B, C, 6
10, mul, D, A, 7
11, sto, D, D, 14
12, rcl, B, B, 13
13, add, D, C, 10
14, sub, A, B, 13
15, sto, D, B, 13
16, mul, D, B, 9
17, add, A, B, 11
18, add, C, C, 7
19, add, A, D, 12
20, sto, A, B, 9
21, mul, B, A, 14
22, sto, B, D, 9
23, mul, A, C, 13
24, sto, A, B, 8
25, sub, D, A, 5
Job 79, 12, 9
0, sub, B, C, 6
1, mul, B, B, 11
2, rcl, D, B, 8
3, add, C, A, 9
4, sub, B, B, 7
5, add, A, D, 8
6, div, A, D, 5
7, nul, C, C, 10
8, add, B, D, 13
9, add, B, C, 9
10, add, A, C, 6
11, div, D, A, 12
Job 80, 27, 1
0, add, A, B, 14
1, mul, A, C, 10
2, sub, D, A, 7
3, nul, D, D, 10
4, nul, C, A, 6
5, mul, B, A, 10
6, div, D, A, 5
7, rcl, A, D, 7
8, add, B, C, 7
9, nul, D, B, 8
10, add, C, A, 10
11, add, B, B, 11
12, sub, D, B, 5
13, add, D, B, 5
14, mul, D, C, 14
15, add, B, C, 8
16, mul, D, C, 12
17, add, C, B, 9
18, mul, B, C, 8
19, rcl, D, B, 7
20, nul, B, B, 8
21, div, A, C, 14
22, nul, C, B, 12
23, mul, D, B, 11
24, sub, D, B, 14
25, sub, C, B, 7
26, add, A, B, 13
Job 81, 13, 10
0, add, D, B, 5
1, sto, B, A, 10
2, mul, D, C, 12
3, mul, C, D, 5
4, rcl, B, B, 6
5, rcl, D, A, 10
6, sub, C, C, 7
7, sub, C, D, 10
8, nul, A, D, 5
9, mul, A, D, 13
10, add, B, C, 10
11, sto, A, B, 5
12, mul, A, B, 5
Job 82, 13, 8
0, mul, D, C, 5
1, sub, A, A, 10
2, add, C, D, 6
3, add, D, A, 7
4, mul, A, D, 8
5, mul, B, D, 12
6, sto, D, B, 9
7, add, C, A, 9
8, sub, A, A, 13
9, add, B, C, 7
10, mul, B, A, 10
11, div, D, C, 11
12, add, A, D, 6
Job 83, 27, 5
0, sub, D, B, 10
1, mul, B, C, 10
2, mul, B, C, 9
3, sub, B, D, 10
4, add, D, B, 6
5, add, B, C, 7
6, add, A, C, 8
7, nul, C, B, 13
8, mul, D, C, 6
9, sub, B, C, 6
10, sub, D, C, 11
11, rcl, D, B, 13
12, nul, A, B, 6
13, mul, C, D, 13
14, add, D, B, 5
15, sto, C, B, 9
16, add, C, D, 5
17, rcl, B, D, 10
18, mul, B, D, 14
19, add, D, B, 5
20, add, C, B, 9
21, mul, D, C, 12
22, add, D, C, 6
23, add, A, D, 9
24, add, D, A, 10
25, sto, B, A, 13
26, div, A, B, 10
Job 84, 24, 5
0, mul, A, D, 10
1, sto, A, A, 5
2, add, A, B, 8
3, sub, B, A, 6
4, add, A, B, 8
5, mul, A, B, 11
6, sto, C, C, 9
7, add, C, B, 12
8, nul, B, B, 9
9, nul, D, C, 10
10, div, D, C, 10
11, nul, B, D, 10
12, nul, A, B, 11
13, sub, A, B, 11
14, add, B, B, 6
15, nul, A, C, 6
16, sub, B, A, 5
17, div, C, B, 8
18, add, D, B, 6
19, add, D, A, 8
20, nul, C, B, 5
21, sto, D, B, 8
22, sub, A, D, 12
23, mul, D, C, 12
Job 85, 24, 10
0, mul, D, A, 11
1, add, C, A, 5
2, mul, D, D, 11
3, add, B, A, 5
4, add, B, B, 7
5, add, D, B, 7
6, sub, D, C, 7
7, div, C, B, 14
8, sto, D, C, 8
9, mul, D, A, 9
10, div, D, A, 11
11, add, B, A, 8
12, sub, C, A, 11
13, sto, D, A, 6
14, sub, B, B, 6
15, add, B, A, 5
16, div, D, D, 8
17, mul, C, D, 13
18, mul, B, C, 12
19, nul, B, C, 11
20, add, D, B, 9
21, sub, D, D, 14
22, div, B, A, 14
23, mul, D, C, 8
Job 86, 20, 5
0, mul, D, B, 8
1, mul, D, D, 7
2, nul, B, A, 6
3, div, C, B, 5
4, add, C, D, 8
5, mul, B, C, 14
6, add, B, C, 11
7, sto, C, B, 14
8, add, C, D, 7
9, div, D, D, 7
10, div, B, D, 7
11, mul, A, B, 14
12, sub, B, D, 12
13, add, A, A, 12
14, mul, C, A, 10
15, rcl, A, C, 5
16, div, A, D, 6
17, add, C, C, 8
18, rcl, C, C, 12
19, add, A, A, 5
Job 87, 14, 5
0, sto, B, B, 14
1, sub, C, C, 13
2, mul, C, A, 6
3, add, A, A, 6
4, nul, C, D, 8
5, add, B, B, 8
6, add, C, C, 9
7, sub, A, B, 7
8, add, D, B, 12
9, add, A, B, 14
10, mul, C, D, 8
11, sub, A, A, 8
12, mul, A, C, 10
13, mul, A, B, 6
Job 88, 14, 5
0, sub, A, A, 11
1, sub, D, B, 13
2, sub, B, C, 6
3, mul, A, B, 5
4, mul, D, A, 10
5, sub, D, B, 6
6, mul, A, A, 5
7, sub, C, D, 9
8, div, A, A, 10
9, nul, A, A, 5
10, sub, B, C, 5
11, sub, A, A, 8
12, sub, A, C, 6
13, mul, A, D, 8
Job 89, 26, 9
0, add, A, C, 10
1, sto, B, B, 12
2, nul, C, B, 14
3, div, D, B, 11
4, mul, A, D, 9
5, mul, A, C, 8
6, mul, D, B, 14
7, sto, B, B, 11
8, div, B, C, 14
9, nul, C, A, 5
10, sto, B, D, 9
11, mul, C, D, 14
12, sub, D, C, 14
13, sub, D, C, 14
14, add, A, A, 5
15, mul, A, B, 12
16, mul, A, D, 14
17, add, B, D, 5
18, div, C, A, 9
19, sub, C, A, 11
20, sto, A, B, 11
21, add, A, D, 10
22, add, A, A, 10
23, sto, D, B, 8
24, add, A, D, 14
25, add, C, A, 6
Job 90, 28, 8
0, mul, C, D, 12
1, mul, A, C, 9
2, mul, A, D, 5
3, div, B, D, 13
4, mul, D, C, 11
5, sub, D, C, 8
6, rcl, D, A, 6
7, add, B, A, 10
8, mul, D, A, 6
9, add, D, D, 10
10, mul, A, D, 12
11, rcl, A, A, 10
12, mul, D, D, 11
13, sub, B, A, 8
14, div, D, C, 6
15, div, A, D, 14
16, sub, B, C, 12
17, add, B, D, 14
18, rcl, D, A, 10
19, mul, B, C, 7
20, add, C, C, 10
21, add, C, A, 11
22, add, A, D, 11
23, sto, A, C, 14
24, div, C, D, 6
25, nul, D, C, 5
26, mul, D, A, 14
27, div, C, B, 7
Job 91, 19, 10
0, mul, C, D, 5
1, mul, D, B, 11
2, div, A, B, 13
3, div, C, B, 11
4, mul, B, C, 13
5, add, A, D, 13
6, mul, A, B, 6
7, sto, A, A, 11
8, add, A, B, 5
9, sto, B, A, 13
10, mul, B, D, 8
11, mul, D, D, 7
12, mul, B, D, 13
13, add, A, D, 5
14, sub, A, C, 7
15, sto, A, A, 6
16, mul, A, B, 8
17, mul, C, C, 11
18, rcl, C, B, 14
Job 92, 27, 6
0, rcl, C, A, 14
1, add, B, C, 14
2, add, C, A, 8
3, mul, A, B, 7
4, sub, B, B, 8
5, mul, A, A, 6
6, nul, A, B, 5
7, mul, A, A, 12
8, add, D, A, 6
9, add, D, A, 11
10, mul, A, D, 14
11, add, C, B, 13
12, sto, D, D, 13
13, sub, C, C, 12
14, div, B, A, 6
15, mul, A, A, 11
16, mul, C, D, 11
17, div, D, D, 8
18, add, C, D, 6
19, mul, B, D, 11
20, mul, A, B, 6
21, sub, C, A, 11
22, nul, C, A, 11
23, sub, A, C, 9
24, add, C, C, 13
25, sub, B, C, 13
26, mul, A, A, 6
Job 93, 23, 6
0, mul, D, A, 11
1, nul, C, C, 11
2, rcl, C, A, 8
3, add, B, A, 9
4, mul, C, A, 13
5, mul, D, B, 14
6, sub, B, B, 11
7, mul, D, A, 13
8, rcl, C, B, 13
9, rcl, D, B, 14
10, add, A, C, 5
11, add, A, B, 13
12, mul, B, A, 11
13, add, B, C, 8
14, sub, B, D, 12
15, mul, D, A, 13
16, mul, C, C, 12
17, sub, C, D, 11
18, add, D, C, 6
19, mul, D, C, 5
20, add, C, B, 7
21, mul, B, B, 13
22, div, A, A, 8
Job 94, 28, 9
0, nul, A, B, 9
1, sub, B, B, 9
2, rcl, C, D, 6
3, mul, B, C, 8
4, nul, D, B, 9
5, sub, D, A, 10
6, nul, C, D, 14
7, rcl, A, A, 5
8, sto, A, D, 7
9, sub, B, A, 5
10, div, D, B, 11
11, mul, A, B, 11
12, mul, B, A, 6
13, mul, D, A, 14
14, add, C, D, 7
15, rcl, C, C, 13
16, add, B, B, 7
17, mul, C, A, 11
18, rcl, D, C, 6
19, rcl, B, D, 5
20, sub, C, D, 11
21, sub, D, B, 12
22, sub, D, B, 5
23, sub, A, C, 12
24, mul, B, D, 10
25, mul, A, A, 6
26, add, A, A, 12
27, rcl, C, A, 5
Job 95, 10, 3
0, sub, C, A, 11
1, mul, D, C, 11
2, sub, B, D, 14
3, sub, C, D, 7
4, rcl, B, A, 5
5, sub, C, C, 6
6, sto, A, A, 8
7, rcl, A, B, 7
8, add, B, B, 13
9, sto, C, C, 8
Job 96, 14, 9
0, sub, C, B, 9
1, sto, C, A, 14
2, sub, A, A, 12
3, add, A, C, 10
4, nul, A, C, 13
5, sub, C, C, 11
6, add, C, B, 12
7, rcl, A, B, 5
8, sub, D, C, 10
9, rcl, D, B, 5
10, sto, B, C, 11
11, add, A, B, 14
12, mul, B, D, 5
13, div, C, D, 14
Job 97, 11, 10
0, div, C, A, 10
1, div, B, C, 9
2, mul, A, D, 11
3, sto, A, C, 10
4, add, B, D, 7
5, rcl, A, D, 7
6, mul, A, C, 9
7, sub, B, A, 8
8, mul, C, C, 11
9, nul, A, B, 13
10, sub, D, A, 6
Job 98, 11, 8
0, add, D, C, 6
1, add, C, D, 7
2, nul, C, B, 12
3, add, C, D, 5
4, rcl, C, B, 6
5, add, B, A, 5
6, add, D, B, 14
7, mul, B, A, 11
8, mul, D, D, 8
9, add, C, A, 6
10, sub, A, C, 5
Job 99, 18, 2
0, nul, B, B, 5
1, div, D, B, 7
2, rcl, D, A, 10
3, sub, A, D, 8
4, div, B, C, 9
5, div, D, A, 6
6, sto, C, D, 13
7, div, B, C, 11
8, mul, B, A, 13
9, nul, B, B, 10
10, sub, D, C, 9
11, nul, A, B, 9
12, add, A, B, 13
13, rcl, A, D, 9
14, mul, B, C, 11
15, add, C, B, 5
16, div, B, C, 13
17, mul, C, B, 8
